,Seq#,ID#,Gender,M,R,F,FirstPurch,ChildBks,YouthBks,CookBks,DoItYBks,RefBks,ArtBks,GeogBks,ItalCook,ItalAtlas,ItalArt,Florence,Related Purchase,Mcode,Rcode,Fcode,Yes_Florence,No_Florence
93,94,764,Male,253,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,200+,0-2 mos.,1 book,0,1
94,95,775,Female,258,14,5,36,0,0,4,0,1,0,0,0,0,0,0,0,200+,13+ mos.,3+ books,0,1
95,96,795,Female,453,14,12,82,1,1,3,1,3,0,3,1,1,0,0,5,200+,13+ mos.,3+ books,0,1
96,97,800,Female,240,12,1,12,0,0,0,0,0,0,0,0,0,0,0,0,200+,7-12 mos.,1 book,0,1
97,98,803,Male,187,10,7,30,0,1,1,0,0,1,2,0,0,0,1,3,101-200,7-12 mos.,3+ books,1,0
98,99,808,Male,271,10,2,18,1,0,0,0,0,0,0,0,0,0,0,0,200+,7-12 mos.,2 books,0,1
99,100,844,Female,288,22,1,22,0,0,1,0,0,0,0,0,0,0,0,0,200+,13+ mos.,1 book,0,1
100,101,850,Male,194,12,10,62,3,1,2,1,1,0,1,0,0,0,0,1,101-200,7-12 mos.,3+ books,0,1
101,102,874,Female,274,14,11,68,4,1,2,1,0,1,2,2,0,1,0,6,200+,13+ mos.,3+ books,0,1
102,103,876,Male,176,6,7,20,2,1,1,0,0,0,0,1,0,0,0,1,101-200,3-6 mos.,3+ books,0,1
103,104,883,Female,182,4,10,34,2,2,0,1,0,0,1,0,0,0,0,1,101-200,3-6 mos.,3+ books,0,1
104,105,903,Male,64,6,2,8,0,0,0,0,0,0,0,0,0,0,0,0,51-100,3-6 mos.,2 books,0,1
105,106,910,Male,95,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,51-100,0-2 mos.,1 book,0,1
106,107,915,Female,308,16,1,16,0,0,1,0,0,0,0,0,0,0,0,0,200+,13+ mos.,1 book,0,1
107,108,931,Female,166,16,1,16,0,0,1,0,0,0,0,0,0,0,0,0,101-200,13+ mos.,1 book,0,1
108,109,940,Female,224,28,2,32,0,0,0,1,0,1,0,0,0,1,0,2,200+,13+ mos.,2 books,0,1
109,110,942,Male,123,14,4,32,1,0,1,0,0,1,0,0,0,0,0,1,101-200,13+ mos.,3+ books,0,1
110,111,950,Female,75,14,1,14,0,1,0,0,0,0,0,0,0,0,0,0,51-100,13+ mos.,1 book,0,1
111,112,954,Female,137,16,1,16,0,0,0,0,1,0,0,0,0,0,0,0,101-200,13+ mos.,1 book,0,1
112,113,966,Female,266,2,6,30,1,1,0,0,0,1,1,0,0,0,0,2,200+,0-2 mos.,3+ books,0,1
113,114,985,Female,258,12,1,12,0,0,0,0,0,0,0,0,0,0,0,0,200+,7-12 mos.,1 book,0,1
114,115,999,Female,419,14,8,48,1,1,4,1,0,0,1,0,0,0,0,1,200+,13+ mos.,3+ books,0,1
115,116,1002,Male,196,2,2,6,0,0,0,0,0,0,0,0,0,0,0,0,101-200,0-2 mos.,2 books,0,1
116,117,1010,Female,31,6,1,6,0,0,0,0,0,0,0,0,0,0,0,0,26-50,3-6 mos.,1 book,0,1
117,118,1011,Female,284,10,1,10,0,0,0,0,0,0,0,0,0,0,0,0,200+,7-12 mos.,1 book,0,1
118,119,1012,Female,268,14,2,18,1,0,0,0,0,1,0,0,0,0,0,1,200+,13+ mos.,2 books,0,1
119,120,1048,Female,189,12,1,12,0,0,0,0,0,0,0,0,0,0,0,0,101-200,7-12 mos.,1 book,0,1
120,121,1054,Male,74,32,2,36,0,0,1,0,0,0,1,0,0,0,0,1,51-100,13+ mos.,2 books,0,1
121,122,1075,Female,145,16,2,22,1,1,0,0,0,0,0,0,0,0,0,0,101-200,13+ mos.,2 books,0,1
122,123,1076,Male,139,30,2,34,0,0,1,0,1,0,0,0,1,0,0,1,101-200,13+ mos.,2 books,0,1
123,124,1082,Female,252,10,1,10,0,0,0,0,0,0,0,0,0,0,0,0,200+,7-12 mos.,1 book,0,1
124,125,1087,Female,60,34,1,34,0,0,0,0,1,0,0,0,0,0,0,0,51-100,13+ mos.,1 book,0,1
125,126,1088,Male,98,12,2,16,1,0,0,0,0,0,0,0,0,0,0,0,51-100,7-12 mos.,2 books,0,1
126,127,1093,Female,263,12,8,58,1,1,3,0,0,1,1,0,0,0,0,2,200+,7-12 mos.,3+ books,0,1
127,128,1095,Female,312,10,1,10,0,0,0,0,0,0,0,0,0,0,0,0,200+,7-12 mos.,1 book,0,1
128,129,1101,Female,257,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,200+,0-2 mos.,1 book,0,1
129,130,1103,Female,205,4,2,6,0,0,0,0,0,0,0,0,0,0,0,0,200+,3-6 mos.,2 books,0,1
130,131,1119,Female,285,22,1,22,0,0,1,0,0,0,0,0,0,0,0,0,200+,13+ mos.,1 book,0,1
131,132,1121,Female,122,4,1,4,0,0,0,0,0,0,0,0,0,0,0,0,101-200,3-6 mos.,1 book,0,1
132,133,1123,Female,363,2,12,28,0,1,2,1,0,1,1,1,0,0,0,3,200+,0-2 mos.,3+ books,0,1
133,134,1131,Female,302,10,1,10,0,0,0,0,0,0,0,0,0,0,0,0,200+,7-12 mos.,1 book,0,1
134,135,1138,Female,51,4,2,12,0,0,0,0,0,0,0,0,0,0,0,0,51-100,3-6 mos.,2 books,0,1
135,136,1141,Female,35,18,2,22,1,0,1,0,0,0,0,1,0,0,0,1,26-50,13+ mos.,2 books,0,1
136,137,1142,Male,150,2,10,28,1,1,1,2,1,0,0,0,1,0,0,1,101-200,0-2 mos.,3+ books,0,1
137,138,1149,Female,136,6,1,6,0,0,0,0,0,0,0,0,0,0,0,0,101-200,3-6 mos.,1 book,0,1
138,139,1151,Female,244,32,1,32,0,0,1,0,0,0,0,0,0,0,0,0,200+,13+ mos.,1 book,0,1
139,140,1160,Female,64,32,1,32,0,0,0,0,0,0,1,0,0,0,0,1,51-100,13+ mos.,1 book,0,1
140,141,1161,Female,89,4,2,6,0,0,0,0,0,0,0,0,0,0,1,0,51-100,3-6 mos.,2 books,1,0
141,142,1169,Female,265,16,1,16,0,0,1,0,0,0,0,0,0,0,0,0,200+,13+ mos.,1 book,0,1
142,143,1170,Male,163,14,1,14,0,0,0,0,0,0,0,0,0,0,0,0,101-200,13+ mos.,1 book,0,1
143,144,1172,Female,216,14,2,20,1,0,1,0,0,0,0,0,0,0,0,0,200+,13+ mos.,2 books,0,1
144,145,1185,Female,283,14,9,46,1,2,3,0,2,0,1,2,1,0,0,4,200+,13+ mos.,3+ books,0,1
145,146,1195,Female,294,14,2,22,0,1,0,0,1,0,0,0,0,0,0,0,200+,13+ mos.,2 books,0,1
146,147,1222,Female,307,36,5,60,1,0,2,0,0,0,2,1,0,0,0,3,200+,13+ mos.,3+ books,0,1
147,148,1227,Female,131,16,1,16,0,0,0,0,0,1,0,0,0,0,0,1,101-200,13+ mos.,1 book,0,1
148,149,1230,Female,359,18,9,48,1,0,3,2,0,2,1,0,0,0,0,3,200+,13+ mos.,3+ books,0,1
149,150,1238,Male,101,14,4,26,0,2,0,0,2,0,0,0,0,0,0,0,101-200,13+ mos.,3+ books,0,1
150,151,1248,Female,246,18,1,18,0,0,0,1,0,0,0,0,0,0,0,0,200+,13+ mos.,1 book,0,1
151,152,1253,Male,285,12,2,14,1,0,0,0,0,0,0,0,0,0,0,0,200+,7-12 mos.,2 books,0,1
152,153,1261,Female,157,26,1,26,1,0,0,0,0,0,0,0,0,0,0,0,101-200,13+ mos.,1 book,0,1
153,154,1263,Female,120,8,5,24,0,0,0,2,0,0,0,0,0,0,0,0,101-200,7-12 mos.,3+ books,0,1
154,155,1283,Female,217,14,2,20,1,0,0,0,1,0,0,0,0,0,0,0,200+,13+ mos.,2 books,0,1
155,156,1300,Female,200,4,9,30,2,2,1,0,2,0,0,0,0,0,0,0,101-200,3-6 mos.,3+ books,0,1
156,157,1313,Female,100,12,4,32,0,0,0,2,1,0,0,0,0,0,0,0,51-100,7-12 mos.,3+ books,0,1
157,158,1319,Female,309,4,11,40,1,1,2,2,0,0,1,1,0,0,0,2,200+,3-6 mos.,3+ books,0,1
158,159,1323,Male,354,6,10,56,1,3,4,1,0,0,0,0,0,0,0,0,200+,3-6 mos.,3+ books,0,1
159,160,1329,Female,163,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,101-200,0-2 mos.,1 book,0,1
160,161,1333,Female,66,12,2,20,0,0,1,0,0,0,0,0,0,0,0,0,51-100,7-12 mos.,2 books,0,1
161,162,1352,Female,169,16,4,34,1,0,0,0,0,0,3,0,0,0,0,3,101-200,13+ mos.,3+ books,0,1
162,163,1353,Female,224,4,1,4,0,0,0,0,0,0,0,0,0,0,0,0,200+,3-6 mos.,1 book,0,1
163,164,1357,Male,222,16,2,20,0,1,1,0,0,0,0,1,0,0,0,1,200+,13+ mos.,2 books,0,1
164,165,1364,Female,477,20,12,68,2,1,5,0,0,1,3,1,0,0,0,5,200+,13+ mos.,3+ books,0,1
165,166,1366,Female,143,10,1,10,0,0,0,0,0,0,0,0,0,0,0,0,101-200,7-12 mos.,1 book,0,1
166,167,1371,Female,295,32,2,40,2,0,0,0,0,0,0,0,0,0,0,0,200+,13+ mos.,2 books,0,1
167,168,1392,Female,69,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,51-100,0-2 mos.,1 book,0,1
168,169,1394,Female,275,8,10,62,1,1,1,2,1,2,0,1,1,2,0,6,200+,7-12 mos.,3+ books,0,1
169,170,1406,Female,54,12,3,24,1,0,0,0,0,1,0,0,0,0,0,1,51-100,7-12 mos.,3+ books,0,1
170,171,1411,Male,201,34,6,54,3,1,0,0,1,0,1,0,0,0,0,1,200+,13+ mos.,3+ books,0,1
171,172,1442,Female,149,8,1,8,0,0,0,0,0,0,0,0,0,0,0,0,101-200,7-12 mos.,1 book,0,1
172,173,1455,Female,364,14,8,54,2,2,2,0,0,1,1,1,0,0,0,3,200+,13+ mos.,3+ books,0,1
173,174,1474,Male,86,14,5,40,1,0,0,0,2,2,0,0,0,0,1,2,51-100,13+ mos.,3+ books,1,0
174,175,1484,Female,151,12,4,34,0,1,0,1,1,0,0,0,0,0,0,0,101-200,7-12 mos.,3+ books,0,1
175,176,1486,Female,229,8,2,12,0,0,0,0,0,0,0,0,0,0,0,0,200+,7-12 mos.,2 books,0,1
176,177,1494,Female,227,2,9,42,1,0,0,1,0,2,0,0,0,0,0,2,200+,0-2 mos.,3+ books,0,1
177,178,1496,Female,246,6,1,6,0,0,0,0,0,0,0,0,0,0,0,0,200+,3-6 mos.,1 book,0,1
178,179,1505,Female,43,10,2,16,1,0,0,0,0,0,0,0,0,0,0,0,26-50,7-12 mos.,2 books,0,1
179,180,1515,Female,158,12,2,14,0,1,0,0,0,0,0,0,0,0,0,0,101-200,7-12 mos.,2 books,0,1
180,181,1518,Male,327,16,2,24,0,0,0,1,0,0,1,0,0,0,0,1,200+,13+ mos.,2 books,0,1
181,182,1521,Female,164,2,3,16,1,0,0,0,0,0,0,0,0,0,1,0,101-200,0-2 mos.,3+ books,1,0
182,183,1526,Male,158,6,9,56,1,1,1,1,1,0,3,0,0,0,1,3,101-200,3-6 mos.,3+ books,1,0
183,184,1529,Male,206,10,2,16,1,0,0,0,0,0,0,0,0,0,0,0,200+,7-12 mos.,2 books,0,1
184,185,1530,Female,319,4,2,10,0,0,0,0,0,0,0,0,0,0,0,0,200+,3-6 mos.,2 books,0,1
185,186,1531,Male,39,10,1,10,0,0,0,0,0,0,0,0,0,0,0,0,26-50,7-12 mos.,1 book,0,1
186,187,1543,Female,295,6,2,14,0,0,1,0,0,0,0,0,0,0,0,0,200+,3-6 mos.,2 books,0,1
187,188,1552,Female,178,14,1,14,0,1,0,0,0,0,0,0,0,0,0,0,101-200,13+ mos.,1 book,0,1
188,189,1554,Female,128,32,5,48,1,0,1,0,0,0,3,0,0,0,0,3,101-200,13+ mos.,3+ books,0,1
189,190,1577,Female,311,2,9,34,2,1,2,2,0,0,0,0,0,0,0,0,200+,0-2 mos.,3+ books,0,1
190,191,1610,Male,391,8,9,48,1,1,2,1,3,0,0,0,0,0,0,0,200+,7-12 mos.,3+ books,0,1
191,192,1641,Male,88,18,2,22,1,0,0,0,1,0,0,0,0,0,0,0,51-100,13+ mos.,2 books,0,1
192,193,1652,Female,97,2,2,10,0,0,0,0,0,0,0,0,0,0,0,0,51-100,0-2 mos.,2 books,0,1
193,194,1671,Male,250,12,12,36,1,1,3,2,1,3,0,1,1,1,1,6,200+,7-12 mos.,3+ books,1,0
194,195,1672,Female,102,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,101-200,0-2 mos.,1 book,0,1
195,196,1685,Female,273,14,2,20,0,0,0,1,0,1,0,0,0,0,0,1,200+,13+ mos.,2 books,0,1
196,197,1690,Female,362,14,5,42,1,0,2,0,1,0,1,1,1,0,0,3,200+,13+ mos.,3+ books,0,1
197,198,1705,Male,271,12,2,14,0,1,0,0,0,0,0,0,0,0,0,0,200+,7-12 mos.,2 books,0,1
198,199,1740,Male,24,8,1,8,0,0,0,0,0,0,0,0,0,0,0,0,0-25,7-12 mos.,1 book,0,1
199,200,1741,Female,280,14,2,22,0,0,1,0,0,0,0,0,0,0,0,0,200+,13+ mos.,2 books,0,1
200,201,1748,Female,203,18,1,18,0,0,1,0,0,0,0,0,0,0,0,0,200+,13+ mos.,1 book,0,1
201,202,1749,Female,304,16,2,18,1,0,0,1,0,0,0,0,0,0,0,0,200+,13+ mos.,2 books,0,1
202,203,1766,Male,164,12,3,24,0,1,1,0,0,0,0,0,0,0,0,0,101-200,7-12 mos.,3+ books,0,1
203,204,1784,Female,32,12,1,12,0,0,0,0,0,0,0,0,0,0,0,0,26-50,7-12 mos.,1 book,0,1
204,205,1785,Female,178,30,2,34,0,0,1,0,0,0,1,0,0,0,0,1,101-200,13+ mos.,2 books,0,1
205,206,1788,Female,130,12,1,12,0,0,0,0,0,0,0,0,0,0,1,0,101-200,7-12 mos.,1 book,1,0
206,207,1796,Male,177,30,9,76,1,2,2,1,1,2,0,0,0,0,0,2,101-200,13+ mos.,3+ books,0,1
207,208,1799,Female,90,10,2,14,0,1,0,0,0,0,0,0,0,0,0,0,51-100,7-12 mos.,2 books,0,1
208,209,1805,Female,292,14,1,14,0,1,0,0,0,0,0,0,0,0,0,0,200+,13+ mos.,1 book,0,1
209,210,1813,Female,226,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,200+,0-2 mos.,1 book,0,1
210,211,1815,Female,73,12,2,18,0,1,0,0,0,0,0,0,0,0,0,0,51-100,7-12 mos.,2 books,0,1
211,212,1817,Male,123,4,2,10,0,0,0,0,0,0,0,0,0,0,0,0,101-200,3-6 mos.,2 books,0,1
212,213,1825,Female,432,12,11,76,3,2,2,0,0,1,2,0,0,0,0,3,200+,7-12 mos.,3+ books,0,1
213,214,1837,Female,218,22,1,22,0,0,0,1,0,0,0,0,0,0,0,0,200+,13+ mos.,1 book,0,1
214,215,1838,Female,448,12,12,48,4,5,1,0,0,1,0,1,0,1,0,3,200+,7-12 mos.,3+ books,0,1
215,216,1844,Female,37,16,2,22,0,0,0,2,0,0,0,0,0,0,0,0,26-50,13+ mos.,2 books,0,1
216,217,1845,Female,246,6,9,40,1,2,4,0,1,0,0,0,0,0,0,0,200+,3-6 mos.,3+ books,0,1
217,218,1846,Male,200,8,3,24,0,1,0,0,0,0,1,0,0,0,0,1,101-200,7-12 mos.,3+ books,0,1
218,219,1858,Female,220,16,3,24,1,0,2,0,0,0,0,1,0,0,0,1,200+,13+ mos.,3+ books,0,1
219,220,1878,Male,238,24,1,24,0,0,0,0,0,1,0,0,0,0,0,1,200+,13+ mos.,1 book,0,1
220,221,1886,Male,152,16,9,66,0,1,4,0,2,1,1,0,0,0,0,2,101-200,13+ mos.,3+ books,0,1
221,222,1889,Female,361,6,6,36,1,0,2,0,0,1,1,1,0,1,1,4,200+,3-6 mos.,3+ books,1,0
222,223,1923,Male,60,14,4,32,1,1,2,0,0,0,0,1,0,0,0,1,51-100,13+ mos.,3+ books,0,1
223,224,1941,Male,438,12,11,76,4,0,2,4,0,0,0,1,0,0,0,1,200+,7-12 mos.,3+ books,0,1
224,225,1960,Female,58,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,51-100,0-2 mos.,1 book,0,1
